Year,% of Population Having Reach  to Electricity
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,31.1
1993,18.07784843
1994,20.39536095
1995,22.70152283
1996,24.99254417
1997,27.26464653
1998,29.51559639
1999,31.74939728
2000,38.9
2001,36.18777847
2002,38.40346909
2003,40.62423706
2004,42.85551834
2005,25.1
2006,47.35784149
2007,49.62880707
2008,28.1
2009,54.20986557
2010,44.5
2011,58.2
2012,67.6
2013,61.5
2014,71.8
2015,72.9
2016,79.97
2017,84.8
2018,
