Year,GDP Per Capita (US $)
1960,237329.8597
1961,222377.6094
1962,243152.696
1963,215568.1895
1964,185188.5279
1965,193804.3589
1966,202009.3116
1967,209716.2478
1968,217498.4379
1969,233924.6141
1970,240432.1133
1971,236162.8816
1972,229908.1761
1973,230910.4268
1974,227239.1794
1975,215651.2221
1976,249625.9703
1977,246439.9619
1978,260189.2344
1979,281371.9188
1980,296178.9168
1981,301970.1841
1982,297631.923
1983,305114.3675
1984,281688.4992
1985,282414.3548
1986,284145.8236
1987,269989.5917
1988,269868.1442
1989,262770.6523
1990,256047.4126
1991,256830.9174
1992,287399.3148
1993,282582.6515
1994,148346.5216
1995,204029.172
1996,223277.7381
1997,238093.816
1998,238976.6249
1999,231278.8802
2000,236977.2619
2001,247792.6551
2002,273961.2629
2003,275737.9463
2004,292063.5897
2005,313682.303
2006,334930.3471
2007,351697.1601
2008,380677.9418
2009,393814.4309
2010,411910.3272
2011,433017.8443
2012,459761.4259
2013,469771.7985
2014,493178.1857
2015,523433.1811
2016,540491.2477
2017,558299.8225
2018,590882.4617
